hidden_layers,mean,ci_lower,ci_upper
1.0,0.6511572226656026,0.6467785506367941,0.6555358946944111
2.0,0.6518355945730245,0.6454536310858523,0.6582175580601968
3.0,0.6547086991221069,0.6505588039583831,0.6588585942858308
4.0,0.6456504389465284,0.6298562613304831,0.6614446165625737
5.0,0.6522745411013567,0.6406720145513994,0.663877067651314
6.0,0.6490822027134875,0.6427473003480794,0.6554171050788956
7.0,0.6496807661612131,0.6410271657419628,0.6583343665804633
8.0,0.6468076616121309,0.6395730006901773,0.6540423225340845
9.0,0.6453711093375899,0.6369727980279933,0.6537694206471865
10.0,0.6396648044692738,0.6268612158795,0.6524683930590476
